Input_FID,Join_Count,TARGET_FID,NAME,ADDRESS,CITY,ZIP,DISTRICT,DIST_NO,TYPE,PHONE,WEBSITE,PRS_ID,GRADE,Area_Acres,Rel_Size,Urban_Desig,pointid,PctImpSurface,Imp_Rank,ORIG_FID,Shape_Length,Shape_Area
138,459,138,Central Avenue Elementary School,4505 104TH ST E,TACOMA,98446,FRANKLIN PIERCE,402,ELEM,(253) 298-3200,https://centralavenue.fpschools.org/,45,K-6,1.9574240006531136,Average,Urban,35617,38.858696,Middle,138,20247.395030871026,26089176.58187704
56,417,56,Midland Elementary School,2300 105TH ST E,TACOMA,98445,FRANKLIN PIERCE,402,ELEM,(253) 298-4501,https://midland.fpschools.org/,0,K-6,1.7179083734674832,Average,Urban,36850,53.68258,Middle,56,15282.791070742267,14594040.631989084
90,274,90,Fawcett Elementary,3702 McKinley Ave,TACOMA,98404,TACOMA,010,ELEM,(253) 571-4700,https://fawcett.tacomaschools.org/,0,K-5,1.1291537421083602,Average,Urban,23489,63.16786,Most Impervious,90,8853.321039531214,5327173.653520797
46,902,46,Collins Elementary School,1920 128TH ST E,TACOMA,98445,FRANKLIN PIERCE,402,ELEM,(253) 298-3400,https://collins.fpschools.org/,0,K-5,3.766495701323184,Large,Urban,43737,25.581318,Least Impervious,46,16530.014067480326,15102768.97611416
85,333,85,Karshner Elementary School,1328 8TH AVE NW,PUYALLUP,98371,PUYALLUP,003,ELEM,(253) 841-8736,https://kar.puyallup.k12.wa.us/,0,K-6,1.4365711576890419,Average,Urban,25228,44.595306,Middle,85,18385.893822676793,23602731.717655826
73,260,73,Harvard Elementary School,1709 85TH ST E,TACOMA,98445,FRANKLIN PIERCE,402,ELEM,(253) 298-4100,https://harvard.fpschools.org/,0,K-6,1.0987633356115785,Average,Urban,29441,69.128784,Most Impervious,73,13392.755774066867,11401282.018285742
79,240,79,Maplewood Elementary School,1110 W PIONEER,PUYALLUP,98371,PUYALLUP,003,ELEM,(253) 841-8737,https://map.puyallup.k12.wa.us/,0,K-6,1.0486414350900162,Small,Urban,26939,61.070835,Most Impervious,79,9812.98941283361,4556225.544537689
82,180,82,Stewart Elementary School,426 4TH AVE NE,PUYALLUP,98372,PUYALLUP,003,ELEM,(253) 841-8743,https://ste.puyallup.k12.wa.us/,0,K-6,0.7812293142392726,Small,Urban,26162,69.9027,Most Impervious,82,12200.453382727612,8655707.600882012
70,674,70,Larchmont Elementary School,8601 E B ST,TACOMA,98445,TACOMA,010,ELEM,(253) 571-6200,https://larchmont.tacomaschools.org/,0,K-5,2.7992887239597932,Average,Urban,30171,39.51674,Middle,70,11390.9139098978,7906022.402072149
86,648,86,Boze Elementary School,1140 E 65TH ST,TACOMA,98404,TACOMA,010,ELEM,(253) 571-4688,https://boze.tacomaschools.org/,0,K-5,2.7224721835994496,Average,Urban,24487,60.777267,Most Impervious,86,9779.499168345646,6196306.908487176
96,141,96,Mary Lyon Elementary School,101 E 46TH ST,TACOMA,98404,TACOMA,010,ELEM,(253) 571-4800,https://lyon.tacomaschools.org/,0,K-5,0.5820461410888162,Small,Urban,20577,75.007095,Most Impervious,96,9144.811984279031,5052848.101250609
118,136,118,Lowell Elementary,810 MR DAHL DR,TACOMA,98403,TACOMA,010,ELEM,(253) 571-7200,https://lowell.tacomaschools.org/,0,K-5,0.5662970413520633,Small,Urban,10172,80.32353,Most Impervious,118,17171.45454207089,16716619.688988177
95,328,95,Lister Elementary,2106 E 44TH ST,TACOMA,98404,TACOMA,010,ELEM,(253) 571-2900,https://lister.tacomaschools.org/,0,K-5,1.3879130157978896,Average,Urban,20908,54.762764,Middle,95,12498.255853891233,8318144.1524292175
66,558,66,Fruitland Elementary School,1515 S FRUITLAND,PUYALLUP,98371,PUYALLUP,003,ELEM,(253) 841-8734,https://fru.puyallup.k12.wa.us/,0,K-6,2.293642001223232,Average,Urban,32267,34.5918,Least Impervious,66,18242.5543417288,19401342.79897486
113,589,113,Lakeland Hills Elementary School,1020 EVERGREEN WAY SE,AUBURN,98092,AUBURN,408,ELEM,(253) 876-7711,https://www.auburn.wednet.edu/lakelandhills,0,K-6,2.472490250307747,Average,Urban,12390,65.95792,Most Impervious,113,16410.450005191906,16389707.858528195
106,280,106,Travis Elementary,2111 S J ST,TACOMA,98405,TACOMA,010,ELEM,(253) 571-4900,https://travis.tacomaschools.org/,0,K-5,1.1786172299291684,Average,Urban,15583,76.31119,Most Impervious,106,16861.40615089422,16886280.078148816
103,234,103,Roosevelt Elementary School,3550 E ROOSEVELT AVE,TACOMA,98404,TACOMA,010,ELEM,(253) 571-4400,https://roosevelt.tacomaschools.org/,0,K-5,0.999785551966898,Small,Urban,17939,65.579834,Most Impervious,103,19283.098033143116,23135364.864626735
126,389,126,Crescent Heights Elementary School,4110 NASSAU AVE NE,TACOMA,98422,TACOMA,010,ELEM,(253) 571-5500,https://ch.tacomaschools.org/,0,K-5,1.639645516069098,Average,Urban,6981,65.46429,Most Impervious,126,19069.85183994031,19209894.622650895
89,299,89,Waller Road Elementary School,6312 WALLER RD E,TACOMA,98443,PUYALLUP,003,ELEM,(253) 841-8745,https://wal.puyallup.k12.wa.us/,0,K-6,1.3020274835814674,Average,Urban,23774,42.51875,Middle,89,18096.374465782228,23210038.597885102
110,622,110,Alice V. Hedden Elementary School,11313 8TH ST E,EDGEWOOD,98372,FIFE,417,ELEM,(253) 517-1500,https://hedden.fifeschools.com/,0,K-6,2.657202608693552,Average,Urban,13494,38.515823,Middle,110,17489.84423092901,15232407.758732054
143,615,143,Fife Elementary School,5804 20TH ST E,FIFE,98424,FIFE,417,ELEM,(253) 517-1400,https://fes.fifeschools.com/,0,K-5,2.5753054996192595,Average,Urban,16363,69.94686,Most Impervious,143,26286.290525530985,43568873.50186834
43,2209,43,Zeiger Elementary School,13008 94TH AVE E,PUYALLUP,98373,PUYALLUP,003,ELEM,(253) 841-8663,https://zei.puyallup.k12.wa.us/,0,K-6,9.221913571046292,Large,Urban,45039,40.63075,Middle,43,13362.621061491878,10745153.728092518
38,829,38,Dessie F. Evans Elementary School,7911 144TH ST E,PUYALLUP,98375,PUYALLUP,003,ELEM,(253) 841-1301,https://eva.puyallup.k12.wa.us/,0,K-6,3.4046980648534144,Large,Urban,49571,53.143547,Middle,38,17750.939969434738,21555076.578532673
61,480,61,Wildwood Elementary School,1601 26TH AVE SE,PUYALLUP,98374,PUYALLUP,003,ELEM,(253) 841-8746,https://wil.puyallup.k12.wa.us/,0,K-6,2.00380668713919,Average,Urban,34613,39.785126,Middle,61,14479.100274118058,13341656.623947462
52,441,52,Sunrise Elementary School,2323 39TH AVE SE,PUYALLUP,98374,PUYALLUP,003,ELEM,(253) 841-8418,https://sun.puyallup.k12.wa.us/,0,K-6,1.8831672958174361,Average,Urban,40631,59.18263,Most Impervious,52,18692.284730784977,17180944.58661179
69,678,69,Shaw Road Elementary School,1106 SHAW RD,PUYALLUP,98372,PUYALLUP,003,ELEM,(253) 841-8675,https://sha.puyallup.k12.wa.us/,0,K-6,2.8454660595114305,Large,Urban,30195,42.349854,Middle,69,16954.350937324234,14046444.070592005
76,115,76,Meeker Elementary School,409 5TH ST SW,PUYALLUP,98371,PUYALLUP,003,ELEM,(253) 841-8738,https://mee.puyallup.k12.wa.us/,0,K-6,0.5017288386721405,Small,Urban,28140,69.931625,Most Impervious,76,10024.583751827902,5703609.78520471
83,371,83,Maple Lawn Elementary School,230 WOOD AVE,SUMNER,98390,SUMNER,320,ELEM,(253) 891-4400,https://www.sumnersd.org/mle,0,K-6,1.5292110416240572,Average,Urban,25946,58.914665,Most Impervious,83,20178.777240395902,21132037.172295947
72,614,72,Bonney Lake Elementary School,18715 80TH ST E,BONNEY LAKE,98391,SUMNER,320,ELEM,(253) 891-4450,https://www.sumnersd.org/ble,0,K-6,2.611277856750459,Average,Urban,29451,35.40282,Least Impervious,72,22416.586014924127,28276334.00273664
123,370,123,Northeast Tacoma Elementary School,5412 29TH ST NE,TACOMA,98422,TACOMA,010,ELEM,(253) 571-6933,https://nt.tacomaschools.org/,0,K-5,1.5581899551435072,Average,Urban,8257,50.626667,Middle,123,22046.059810626753,28033863.71405468
105,709,105,Northwood Elementary School,9805 24TH ST E,EDGEWOOD,98371,PUYALLUP,003,ELEM,(253) 841-8740,https://nor.puyallup.k12.wa.us/,0,K-6,2.987749354022864,Large,Urban,16513,56.119446,Middle,105,19417.729983957022,23703848.597877223
77,205,77,Spinning Elementary School,1306 E PIONEER,PUYALLUP,98372,PUYALLUP,003,ELEM,(253) 841-8742,https://spi.puyallup.k12.wa.us/,0,K-6,0.8773355329318742,Small,Urban,28144,62.941746,Most Impervious,77,13190.84374337401,9078150.177472394
101,467,101,Mountain View Elementary School,3411 119TH AVE E,EDGEWOOD,98372,PUYALLUP,003,ELEM,(253) 841-8739,https://mtv.puyallup.k12.wa.us/,0,K-6,1.9816001458689578,Average,Urban,18527,29.84778,Least Impervious,101,19962.478500764882,26343759.376581248
45,441,45,Ridgecrest Elementary School,12616 SHAW RD E,PUYALLUP,98374,PUYALLUP,003,ELEM,(253) 841-8753,https://rid.puyallup.k12.wa.us/,0,K-6,1.870042548053688,Average,Urban,44643,44.873302,Middle,45,17746.79462946044,16157996.266665205
107,1049,107,Lake Tapps Elementary School,1320 178TH AVE E,LAKE TAPPS,98391,DIERINGER,343,ELEM,(253) 862-6600,https://ltes.dieringer.wednet.edu/,0,K-6,4.39535125183241,Large,Urban,15027,42.064518,Middle,107,19630.18313320843,22274008.540202603
100,638,100,Dieringer Heights Elementary School,21727 34TH ST E,LAKE TAPPS,98391,DIERINGER,343,ELEM,(253) 826-4937,https://dhes.dieringer.wednet.edu/,0,K-6,2.640577739404778,Average,Urban,18564,34.95659,Least Impervious,100,29528.797762660884,40154992.68667221
91,574,91,Daffodil Valley Elementary School,"1509 VALLEY AVE
",SUMNER,98390,SUMNER,320,ELEM,(253) 891-4600,https://www.sumnersd.org/dve,0,K-6,2.3888199011978943,Average,Urban,22465,51.70396,Middle,91,18911.37638623605,18392286.17835229
97,1270,97,Crestwood Elementary School,3914 WEST TAPPS DR E,BONNEY LAKE,98391,SUMNER,320,ELEM,(253) 891-5550,https://www.sumnersd.org/cwe,0,K-6,5.265451313790956,Large,Urban,20243,29.575567,Least Impervious,97,19659.547301946834,21830956.361113373
88,567,88,Emerald Hills Elementary School,19515 SOUTH TAPPS DR E,BONNEY LAKE,98391,SUMNER,320,ELEM,(253) 891-4750,https://www.sumnersd.org/ehe,0,K-6,2.3639610236816986,Average,Urban,23951,56.84238,Middle,88,22536.203593450995,27689104.975316342
57,817,57,Elk Ridge Elementary School,340 N RIVER AVE,BUCKLEY,98321,WHITE RIVER,416,ELEM,(360) 829-3354,https://elkridge.whiteriver.wednet.edu/,0,K-6,3.4205806278661797,Large,Urban,36454,42.088165,Middle,57,200170.1019677956,747468281.5249313
54,1349,54,Foothills Elementary School,10621 234TH AVE E,BUCKLEY,98321,WHITE RIVER,416,ELEM,(360) 829-5979,https://foothills.whiteriver.wednet.edu/,0,K-6,5.632309261490605,Large,Urban,38459,24.391144,Least Impervious,54,32639.77802535096,57957080.76242017
136,1369,136,Purdy Elementary School,13815 62ND AVE NW,GIG HARBOR,98332,PENINSULA,401,ELEM,(253) 530-4600,https://pes.psd401.net/,0,K-6,5.772126866992435,Large,Urban,1,37.20232,Least Impervious,136,42439.26785357107,65698615.023400374
